Meal,Calories,Utility,Carbohydrates,Fats,Protein,Category
Aam ras(1 cup)+Puri(3),716,,150,10.2,8,Veg
Alfredo Pasta,570,70,41,43,16,Veg
Batata poha(200gms),198,,25,5,3,Veg
bhajra rotla + baingan bharta(132gm),252,,26.9,12.8,4.2,Veg
Biryani,163,,13.3,7.7,9.5,Veg
Bisi bele bath - 1 cup,300,,42,12,9,Veg
Burrito,300,,26,16,12,Veg
Cereal,190,30,77,12,11,Veg
chickpea curry(1 bowl),644,,96,16,28,Veg
"chickpea, zuchini and mushroom stew",359,,55,9.5,17.2,Veg
Chole Kulcha,313,,2,19,32,Veg
dal makhani and jeera rice,335,,35.6,13.6,7.3,Veg
Fish and Chips,925,100,32,59,8,Non-Veg
French Toast with Butter,264,20,42,47,11,Veg
Fried Carrot Cake,585,80,44,47,9,Veg
Fried Hokkien Noodles,617,80,42,44,14,Non-Veg
Grilled veggie sandwhich(2 bread and 100g veggies),395,,47,18,11,Veg
Ham Sandwich,365,30,40,27,33,Non-Veg
idli (1pc)+ sambhar(1 bowl),342,,68.1,10.2,14,Veg
jalebi (1pc) +fafda(50gms),292,,51,3.7,11.8,Veg
Kheer 1 cup,282,,47.6,6.8,8,Veg
khichdi(100gm)+kadhi(1cup),256,,52.9,18,16.1,Veg
Mac and Cheese With Brocolli,293,,29.3,14,12,Veg
Macaroni Chicken Soup,199,40,64,5,31,Non-Veg
moong daal chilla(4 pancake),400,,40,14.8,25.6,Veg
Mutton Korma + 2 roti,698,,48,37.7,41,Veg
nachos with cheese,346,,36.3,19,9.1,Veg
paneer bhurji (1 cup) + paratha (2pc),983,,91.1,57.5,30.8,Veg
pani puri(20 pcs),400,,78,16,8,Veg
Pav Bhaji(1 plate+1/2 pav),200,,47,12,7,Veg
Peanut Soup,255,20,35,51,14,Veg
Poha 1 bowl,330,,68.9,6,6.8,Veg
ragda pattice (1 cup white peas + 1/8 cup tamarind (imli) + small potato),370,,50,13,8,Veg
rajma and jeera rice,640,,89,25,14,Veg
Rice+Dal Fry,771,,104,21,32,Veg
Roti(3)+Aloo gobi sabji(1 bowl),481,,70,22,9,Veg
Roti(3)+Paneer Tikka Masala(1 bowl),560,,62.5,27,17,Veg
Sabudana Khichdi + Dahi,296,,41,11.7,8.4,Veg
"sabudana vadaShallow Fried, 1 piece (about 35 - 40g)",140,,25.4,3.5,2.3,Veg
sarso da saag and makki ki roti,320,,44,16.4,8,Veg
Sev puri+1 thumps up,364,,96,0,0,Veg
Soya Sauce Chicken Rice,551,50,43,39,18,Non-Veg
talod dhokla(110g) + aamras(1 cup),523,,117,1.8,17.4,Veg
Thepla(3)+Sukha Aloo(1 bowl)+Chaas,452,,57,25.6,12.8,Veg
undhiya(1cup) + puri(1pc),361,,33.7,13.5,5.7,Veg
upma(120gms),250,,45.7,3.8,8.1,Veg
vada pav (2pc),600,,110,18,6,Veg
Waffles with Kaya,400,60,50,42,8,Non-Veg
Masala Dosa With Sambhar & Chutney,290,,45,9.5,8,Veg
Idli Sambhar With Chutney - 2 pieces,550,,39,2.5,7,Veg
Muthiya -  1 cup,210,,40,2.9,9,Veg
Undhiyu + 3 Rotis,554,,73.9,21.2,12,Veg
Nylon Khaman - 100g,353,,66,4.2,13,Veg
Butter Chicken - 1 bowl,497,,40,24,43,Non-Veg
Chicken Tikka Masala - 1 bowl,400,,32,25,26,Non-Veg
Mughlai Chicken - 1 bowl,293,,13,18,20.2,Non-Veg
4 Momos,306,,33.9,12,10,Veg
Dal Bati Churma - 200g,640,,60,10,8,Veg
Chicken Vindaloo - 1 portion,621,,72,21,32,Non-Veg
omelette ,203,,4,20,13,Non-Veg
Breakfast Biscuits - Oats and Milk,216,,33.5,7.8,4.4,Veg
Banana Bread,226,,36,8,4,Veg
"Muesli With Oats, Dates & Berries",478,,46,23,17,Veg
Bread Upma,433,,58,17,11,Veg
Humus + pita bread,300,50,68,25,20,Veg
Mughal mutton curry ,550,,70,30,28,Non-Veg
Tunda Kebab,480,,75,55,30,Non-Veg
Grilled Chicken Escalope with fresh salsa,360,,30,22,25,Non-Veg
Chicken 65,330,,20,10,20,Non-Veg
